community_id,community_size,train_months,test_months,test_total_reviews,MAE,RMSE,WAPE
45,1250,36,12,1010.0,27.110640762321562,32.366646672185595,0.32210662291867204
36,2835,36,12,2098.0,37.72144759193741,45.804172736393866,0.21575661158400805
24,1282,36,12,1944.0,43.27382446170103,59.0409777374805,0.26712237322037674
0,3070,36,12,10039.0,76.10109746997378,98.0849819301391,0.09096654742899546
42,3636,36,12,3901.0,153.09754717663495,169.7321669878331,0.47094861987173015
