case_type,model,business_id,name,target_month_str,attention_pulse,prediction,probability,decision_threshold,target_next_month_reviews,pulse_baseline_reviews,pulse_relative_lift,rolling_3_avg,rolling_6_avg,recent_text_review_count,share_recent_positive_language,share_recent_negative_language,sentiment_compound_mean,sentiment_positive_pct,sentiment_negative_pct,recent_reviewer_count,avg_reviewer_weighted_degree,max_reviewer_weighted_pagerank,fraction_repeat_reviewers,reviewer_community_diversity,interpretation_note
true_positive_pulse,ML: HGB selected top 20,Ssur8TPCIZWnZeCDQ9avQQ,Landry's Seafood House,2019-04,1,1,0.6487301868345258,0.1699999999999999,6.0,4.0,1.5,5.333333333333333,4.0,16.0,0.75,0.3125,0.6355454545454545,81.81818181818183,18.181818181818183,16.0,0.6382221393709933,0.0001195443701481,0.5625,2.0,"Model correctly flagged a future pulse; inspect recent momentum, reviewers, and language as plausible warning signals."
missed_pulse,ML: HGB selected top 20,XEuryfYZwcivUtijaZ5laQ,Acme Oyster House - Harrahs,2019-01,1,0,0.1696602568510304,0.1699999999999999,8.0,5.166666666666667,1.5483870967741935,2.6666666666666665,5.166666666666667,8.0,0.75,0.25,0.7726333333333333,100.0,0.0,8.0,0.0,0.0,0.625,0.0,A pulse occurred despite a low model decision; useful for discussing hidden offline events or weak digital precursors.
false_alarm,ML: HGB selected top 20,BJBSwMKADtYjqFDCL3-zkw,IHOP,2019-04,0,1,0.6636246021270286,0.1699999999999999,4.0,4.0,1.0,4.333333333333333,4.0,13.0,0.4615384615384615,0.7692307692307693,-0.4527666666666666,22.22222222222222,77.77777777777779,13.0,0.0,0.0,0.3846153846153846,0.0,Model expected a pulse that did not materialize; useful for discussing noisy attention signals and threshold trade-offs.
true_positive_pulse,ML: HGB selected top 20,-fJPJP7iOd1ukDNqTSINIg,Riccobono’s Panola St. Cafe,2019-06,1,1,0.1704515083058349,0.1699999999999999,4.0,1.1666666666666667,3.4285714285714284,1.3333333333333333,1.1666666666666667,4.0,1.0,0.0,0.7311,100.0,0.0,4.0,0.0,0.0,0.75,0.0,"Model correctly flagged a future pulse; inspect recent momentum, reviewers, and language as plausible warning signals."
missed_pulse,ML: HGB selected top 20,8UPv1p9GW-BiZtQqUt8nOA,Neyow's Creole Cafe,2019-07,1,0,0.0211499273277792,0.1699999999999999,59.0,35.5,1.6619718309859155,34.333333333333336,35.5,103.0,0.8737864077669902,0.1359223300970873,0.8055277777777777,97.2222222222222,2.7777777777777777,103.0,12.547009845365086,0.0067921506963525,0.6990291262135923,3.0,A pulse occurred despite a low model decision; useful for discussing hidden offline events or weak digital precursors.
